Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 15, [(0 0)],2,  2, (2 1), [(0 0) (5 3)], 9, 0.003
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 16, [(0 0)],2,  2, (3 5), [(3 0) (5 0)], 20, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 17, [(0 0)],2,  2, (5 3), [(3 1) (4 2)], 17, 0.002
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 18, [(0 0)],2,  2, (1 5), [(1 1) (4 4)], 17, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 19, [(0 0)],2,  2, (0 2), [(1 1) (5 3)], 7, 0.002
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 0, [(0 0)],5,  2, (4 0), [(0 2) (2 0) (2 4) (4 2) (5 1)], 11, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 1, [(0 0)],5,  2, (1 2), [(0 4) (1 1) (2 4) (4 0) (5 1)], 5, 0.000
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 2, [(0 0)],5,  2, (0 3), [(0 5) (1 4) (3 5) (5 2) (5 4)], 10, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 3, [(0 0)],5,  2, (2 3), [(1 2) (3 2) (3 5) (5 0) (5 4)], 10, 0.002
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 4, [(0 0)],5,  2, (2 3), [(0 4) (1 0) (3 1) (4 1) (5 0)], 11, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 5, [(0 0)],5,  2, (2 4), [(0 1) (3 4) (4 0) (4 5) (5 3)], 12, 0.001
Sat Sep 19 16:07:40 2020, set6x6_k2_corner, LM, 6x6, 6, [(0 0)],5,  2, (0 5), [(0 0) (0 2) (0 4) (2 4) (5 1)], 11, 0.000
